step;avg_r;avg_l;avg_q;avg_ep_r;max_ep_r;min_ep_r
2375000;0,9134;0,088197;11,837670;183,3871;660,0000;0,0000
2400000;0,9835;0,088809;11,653767;176,8921;660,0000;0,0000
2425000;0,9914;0,084376;11,618610;205,0667;660,0000;0,0000
2450000;1,1363;0,081481;11,552999;226,6129;772,0000;0,0000
2475000;0,9003;0,080466;11,639875;190,4957;660,0000;0,0000
2500000;0,8784;0,071394;11,610089;195,6429;660,0000;0,0000
2525000;0,8227;0,075157;11,476419;184,9818;616,0000;0,0000
2550000;1,0598;0,073789;11,486414;243,0826;1092,0000;0,0000
2575000;1,0958;0,081239;11,397705;220,9431;660,0000;0,0000
2600000;1,1350;0,080467;11,368114;208,6471;852,0000;0,0000
2625000;1,1960;0,086486;11,192282;242,6992;804,0000;0,0000
2650000;1,1448;0,072245;11,202242;225,3543;948,0000;0,0000
2675000;1,0667;0,079292;11,191492;222,2521;1140,0000;0,0000
2700000;1,0626;0,077631;11,236609;207,1875;708,0000;0,0000
2725000;1,2355;0,082500;11,183802;228,1481;852,0000;0,0000
2750000;1,0059;0,092175;11,084860;207,1074;660,0000;0,0000
2775000;1,0250;0,081699;11,093296;206,7869;804,0000;0,0000
2800000;1,1374;0,067147;11,011841;231,1870;852,0000;0,0000
2825000;0,9894;0,069161;11,038422;229,9439;804,0000;0,0000
2850000;1,1578;0,065931;11,009786;245,2881;1284,0000;0,0000
2875000;1,1718;0,066349;10,908650;245,2881;672,0000;0,0000
2900000;1,1086;0,078898;10,769841;197,9714;660,0000;0,0000
2925000;1,0701;0,079975;10,707748;219,2787;1284,0000;0,0000
2950000;1,0246;0,067796;10,722251;211,7025;768,0000;0,0000
2975000;1,2149;0,067341;10,651733;235,4419;852,0000;0,0000
3000000;1,4091;0,073787;10,635372;252,4058;720,0000;0,0000
3025000;1,1736;0,073944;10,625926;235,5484;900,0000;0,0000
3050000;1,1597;0,071633;10,446301;247,0427;852,0000;0,0000
3075000;1,2138;0,066132;10,366472;251,7667;804,0000;0,0000
3100000;1,2443;0,080152;10,202574;243,9055;900,0000;0,0000
3125000;1,2968;0,070137;10,126201;245,6061;948,0000;0,0000
3150000;1,2514;0,067465;10,117627;248,2857;1380,0000;0,0000
3175000;1,2491;0,067270;9,976924;252,6281;1044,0000;0,0000
3200000;1,3032;0,071557;9,984281;244,0000;948,0000;0,0000
3225000;1,3826;0,069200;9,984358;255,6418;928,0000;0,0000
3250000;1,2630;0,065110;9,927286;258,0496;1044,0000;0,0000
3275000;1,3994;0,071608;9,899142;254,4412;852,0000;0,0000
3300000;1,3298;0,072792;9,893650;261,4173;1248,0000;0,0000
3325000;1,2720;0,084808;9,880674;236,6567;720,0000;0,0000
3350000;1,2014;0,089813;9,958035;242,2258;852,0000;0,0000
3375000;1,2435;0,072795;9,996168;246,3810;660,0000;0,0000
3400000;1,3573;0,068795;9,990024;267,1811;852,0000;0,0000
3425000;1,1107;0,097755;9,909130;222,8710;852,0000;0,0000
