step;avg_r;avg_l;avg_q;avg_ep_r;max_ep_r;min_ep_r
2350000;0,7956;18099,888139;67808,526451;40,3448;70,0000;0,0000
2375000;0,7552;22264,657005;100232,056825;39,0062;110,0000;0,0000
2400000;0,6192;27220,497171;120410,597851;33,5652;70,0000;0,0000
2425000;0,7568;32535,500128;163646,085060;39,6429;70,0000;0,0000
2450000;0,7432;49103,721180;235899,592108;37,6673;70,0000;0,0000
2475000;0,7200;47529,302385;267676,281798;36,4300;70,0000;0,0000
2500000;0,7480;87384,813007;370457,350742;40,2155;90,0000;0,0000
2525000;0,7268;88363,488731;446792,624884;37,0061;70,0000;0,0000
2550000;0,7524;103167,652754;487751,508523;34,9813;70,0000;0,0000
2575000;0,7148;135819,857634;565435,036282;31,7825;70,0000;0,0000
2600000;0,6180;110487,706761;676790,771974;33,6463;80,0000;0,0000
2625000;0,6816;136159,682046;681782,138455;33,4646;80,0000;0,0000
2650000;0,7212;118030,353270;688799,404909;37,5208;70,0000;0,0000
2675000;0,7060;147983,301197;737377,221927;31,0229;70,0000;0,0000
2700000;0,7620;135741,987636;761105,124169;34,2523;70,0000;0,0000
2725000;0,7188;167553,570660;807362,676711;36,0442;70,0000;0,0000
2750000;0,7304;155913,250056;961553,692287;39,5652;70,0000;0,0000
2775000;0,7356;214171,952215;1114691,226004;37,5460;70,0000;0,0000
2800000;0,7260;216302,329639;1125256,632374;34,9903;70,0000;0,0000
2825000;0,7340;250301,940107;1324668,668646;37,6749;70,0000;0,0000
2850000;0,7388;235030,445328;1407317,802466;39,1314;70,0000;0,0000
2875000;0,7452;255269,611329;1521550,571253;37,1657;70,0000;0,0000
2900000;0,7580;326926,284255;1669060,876612;39,4781;70,0000;0,0000
2925000;0,6928;396778,850788;2118425,865178;31,3043;70,0000;0,0000
2950000;0,5924;401362,118275;2193007,325903;34,4289;80,0000;0,0000
2975000;0,7204;409579,422517;2332501,411339;38,9805;110,0000;0,0000
3000000;0,7448;419232,159461;2360841,691589;39,3644;70,0000;0,0000
3025000;0,7504;511608,945239;2825286,966581;35,6274;70,0000;0,0000
3050000;0,7112;489444,540096;2757478,786269;33,5606;70,0000;0,0000
3075000;0,7508;594089,663878;3261768,079158;31,4983;80,0000;0,0000
3100000;0,7380;514272,866126;3216201,207133;37,9424;70,0000;0,0000
3125000;0,7440;597148,209468;3709937,723273;39,4055;80,0000;0,0000
3150000;0,6908;690812,367406;4048327,070321;33,2882;70,0000;0,0000
3175000;0,6624;753097,799160;4163860,816257;26,9984;90,0000;0,0000
3200000;0,7580;895166,225939;5238315,892492;38,5132;590,0000;0,0000
3225000;0,7168;1097508,550637;5981234,862372;39,2544;80,0000;0,0000
3250000;0,6896;1183856,274937;7091744,650714;34,8785;70,0000;0,0000
3275000;0,7140;1191883,216848;7012089,328328;36,5708;80,0000;0,0000
3300000;0,7104;1331174,779880;7015870,403917;36,0896;70,0000;0,0000
3325000;0,7544;1404507,099395;8577897,180829;39,7046;70,0000;0,0000
3350000;0,7544;1826341,279895;8787021,140139;41,2281;70,0000;0,0000
3375000;0,7680;1364166,539246;9071749,032259;33,0000;70,0000;0,0000
3400000;0,7284;1622359,651408;9836355,957243;36,9371;70,0000;0,0000
3425000;0,7548;1727800,383637;10926031,291059;39,4351;70,0000;0,0000
3450000;0,7628;1936807,046613;11178131,116483;32,1115;80,0000;0,0000
3475000;0,7292;1630586,014537;11745185,326315;37,7433;70,0000;0,0000
3500000;0,7328;2206442,004880;13015555,733572;41,3801;70,0000;0,0000
3525000;0,6584;1942402,117987;12833538,685244;33,3740;70,0000;0,0000
3550000;0,6500;2174274,878046;13333060,217764;32,1230;70,0000;0,0000
3575000;0,7188;2721746,628198;15261610,378480;38,2303;70,0000;0,0000
3600000;0,7368;3192960,473591;17093355,948008;35,2783;80,0000;0,0000
3625000;0,7044;2955744,859545;17958627,942714;36,6806;70,0000;0,0000
3650000;0,6704;3048501,888653;19063148,766712;34,0530;70,0000;0,0000
3675000;0,7584;3802325,779878;20133362,291167;41,1304;70,0000;0,0000
3700000;0,7336;3666425,842502;19867489,047214;38,3473;70,0000;0,0000
3725000;0,7324;3238894,697125;18236023,395951;38,9552;90,0000;0,0000
3750000;0,7436;3252523,687171;19507993,951344;37,2490;80,0000;0,0000
3775000;0,7600;4159378,599632;22372680,104753;35,6685;70,0000;0,0000
3800000;0,7092;4379125,842191;23585567,912374;36,9520;70,0000;0,0000
3825000;0,7012;4675631,622163;25672398,684168;33,8298;70,0000;0,0000
