step;avg_r;avg_l;avg_q;avg_ep_r;max_ep_r;min_ep_r
2400000;1,1994;0,330713;14,867232;80,8086;590,0000;0,0000
2425000;1,1102;0,333269;14,676478;77,4721;610,0000;0,0000
2450000;1,1988;0,323969;14,513719;85,1420;480,0000;0,0000
2475000;1,0866;0,311748;14,679119;77,5360;680,0000;0,0000
2500000;1,1770;0,304759;14,630874;82,9237;585,0000;0,0000
2525000;1,0852;0,311636;14,659616;68,6456;455,0000;0,0000
2550000;1,1324;0,315331;14,668163;75,2926;505,0000;0,0000
2575000;1,1872;0,321401;14,573056;78,7268;420,0000;0,0000
2600000;1,1196;0,352129;14,609586;79,7009;510,0000;0,0000
2625000;1,2316;0,332817;14,620765;85,9218;570,0000;0,0000
2650000;1,2214;0,317219;14,669478;81,3904;595,0000;0,0000
2675000;1,1920;0,317445;14,862961;75,8546;485,0000;0,0000
2700000;1,2092;0,326164;14,766817;82,1117;650,0000;0,0000
2725000;1,1590;0,331640;14,772837;81,5960;620,0000;0,0000
2750000;1,1230;0,328489;14,670940;73,4474;545,0000;0,0000
2775000;1,1786;0,332642;14,687174;83,8462;550,0000;0,0000
2800000;1,1592;0,318680;14,602449;82,3295;625,0000;0,0000
2825000;1,1234;0,318037;14,627531;80,5747;635,0000;0,0000
2850000;1,1282;0,317139;14,574905;76,7213;560,0000;0,0000
2875000;1,1318;0,334615;14,550504;72,5000;525,0000;0,0000
2900000;1,1510;0,312111;14,426104;79,4475;515,0000;0,0000
2925000;1,1532;0,310767;14,406844;79,0522;455,0000;0,0000
2950000;1,1940;0,317211;14,447038;75,9542;645,0000;0,0000
2975000;1,2412;0,317333;14,402628;74,7711;490,0000;0,0000
3000000;1,1786;0,311460;14,264429;75,3453;530,0000;0,0000
3025000;1,2592;0,311994;14,098814;85,7357;625,0000;0,0000
3050000;1,1946;0,318713;14,120522;84,6034;680,0000;0,0000
3075000;1,1254;0,321126;14,150033;69,2241;540,0000;0,0000
3100000;1,1416;0,346777;14,233190;75,1053;500,0000;0,0000
3125000;1,1788;0,324404;14,243128;77,1335;610,0000;0,0000
3150000;1,1362;0,333086;14,282877;74,1514;510,0000;0,0000
3175000;1,3574;0,332389;14,355353;98,4985;680,0000;0,0000
